Game Title	Source Site	Platform	Category	Front Page Info (Size/Version)	Front Page Info (Genre/Publisher)	Detail URL	ROM Format	File Size	Mirror Hoster	Redirect URL	Final Direct Link
2080- Marvel’s Spider-Man 2 – Digital Deluxe Edition (v2.629 + All DLCs + Bonus PSN Items + MULTi26) (From 65.9 GB) [DODI Repack]	dodi	Windows PC	windows	65.9 GB	N/A	https://dodi-repacks.site/marvels-spider-man-2/	N/A	N/A	SwiftUploads	http://zovo2.top/Dx4rdl	http://zovo2.top/Dx4rdl
2080- Marvel’s Spider-Man 2 – Digital Deluxe Edition (v2.629 + All DLCs + Bonus PSN Items + MULTi26) (From 65.9 GB) [DODI Repack]	dodi	Windows PC	windows	65.9 GB	N/A	https://dodi-repacks.site/marvels-spider-man-2/	N/A	N/A	DataNodes	http://go.zovo.ink/A5zn	http://go.zovo.ink/A5zn
2080- Marvel’s Spider-Man 2 – Digital Deluxe Edition (v2.629 + All DLCs + Bonus PSN Items + MULTi26) (From 65.9 GB) [DODI Repack]	dodi	Windows PC	windows	65.9 GB	N/A	https://dodi-repacks.site/marvels-spider-man-2/	N/A	N/A	DataNodes	http://zovo2.top/BH2FRq81	http://zovo2.top/BH2FRq81
1479- Marvel’s Spider-Man: Miles Morales (v4.630 + DLCs + Bonus Content + MULTi23) (From 27.7 GB) [DODI Repack]	dodi	Windows PC	windows	27.7 GB	N/A	https://dodi-repacks.site/marvels-spider-man-miles-morales/	N/A	N/A	Torrent	https://www.swiftuploads.com/2WVGrXOq3kx7/file	https://www.swiftuploads.com/2WVGrXOq3kx7/file
1479- Marvel’s Spider-Man: Miles Morales (v4.630 + DLCs + Bonus Content + MULTi23) (From 27.7 GB) [DODI Repack]	dodi	Windows PC	windows	27.7 GB	N/A	https://dodi-repacks.site/marvels-spider-man-miles-morales/	N/A	N/A	Torrent	https://www.up-4ever.net/w8vklog966n1	https://www.up-4ever.net/w8vklog966n1
1479- Marvel’s Spider-Man: Miles Morales (v4.630 + DLCs + Bonus Content + MULTi23) (From 27.7 GB) [DODI Repack]	dodi	Windows PC	windows	27.7 GB	N/A	https://dodi-repacks.site/marvels-spider-man-miles-morales/	N/A	N/A	SwiftUploads	http://go.zovo.ink/IOFTOZ	http://go.zovo.ink/IOFTOZ
1479- Marvel’s Spider-Man: Miles Morales (v4.630 + DLCs + Bonus Content + MULTi23) (From 27.7 GB) [DODI Repack]	dodi	Windows PC	windows	27.7 GB	N/A	https://dodi-repacks.site/marvels-spider-man-miles-morales/	N/A	N/A	SwiftUploads	http://zovo2.top/jaDO	http://zovo2.top/jaDO
1479- Marvel’s Spider-Man: Miles Morales (v4.630 + DLCs + Bonus Content + MULTi23) (From 27.7 GB) [DODI Repack]	dodi	Windows PC	windows	27.7 GB	N/A	https://dodi-repacks.site/marvels-spider-man-miles-morales/	N/A	N/A	elamigos Update v4.630	http://go.zovo.ink/S7sw71e	http://go.zovo.ink/S7sw71e
1479- Marvel’s Spider-Man: Miles Morales (v4.630 + DLCs + Bonus Content + MULTi23) (From 27.7 GB) [DODI Repack]	dodi	Windows PC	windows	27.7 GB	N/A	https://dodi-repacks.site/marvels-spider-man-miles-morales/	N/A	N/A	elamigos Update v4.630	http://zovo2.top/176t	http://zovo2.top/176t
611- The Amazing Spider-Man (Update1 + All DLCs + Fixes + MULTi6) – [DODI Repack]	dodi	Windows PC	windows	N/A	N/A	https://dodi-repacks.site/611-the-amazing-spider-man-update1-all-dlcs-fixes-multi6-dodi-repack/	N/A	N/A	Torrent	https://uploadsea.com/yEL73g7K39Ba/file	https://uploadsea.com/yEL73g7K39Ba/file
611- The Amazing Spider-Man (Update1 + All DLCs + Fixes + MULTi6) – [DODI Repack]	dodi	Windows PC	windows	N/A	N/A	https://dodi-repacks.site/611-the-amazing-spider-man-update1-all-dlcs-fixes-multi6-dodi-repack/	N/A	N/A	Torrent	https://3upload.com/aetbkjbb66oa	https://3upload.com/aetbkjbb66oa
611- The Amazing Spider-Man (Update1 + All DLCs + Fixes + MULTi6) – [DODI Repack]	dodi	Windows PC	windows	N/A	N/A	https://dodi-repacks.site/611-the-amazing-spider-man-update1-all-dlcs-fixes-multi6-dodi-repack/	N/A	N/A	Torrent	https://www.up-4ever.net/5v8tckcyg0us	https://www.up-4ever.net/5v8tckcyg0us
611- The Amazing Spider-Man (Update1 + All DLCs + Fixes + MULTi6) – [DODI Repack]	dodi	Windows PC	windows	N/A	N/A	https://dodi-repacks.site/611-the-amazing-spider-man-update1-all-dlcs-fixes-multi6-dodi-repack/	N/A	N/A	OneDrive	https://oko.sh/L7txtdUyf	https://oko.sh/L7txtdUyf
411- Spider-Man: Shattered Dimensions – [DODI Repack]	dodi	Windows PC	windows	N/A	N/A	https://dodi-repacks.site/411-spider-man-shattered-dimensions-dodi-repack/	N/A	N/A	Torrent	https://www.up-4ever.net/is6s6fdxjh0f	https://www.up-4ever.net/is6s6fdxjh0f
411- Spider-Man: Shattered Dimensions – [DODI Repack]	dodi	Windows PC	windows	N/A	N/A	https://dodi-repacks.site/411-spider-man-shattered-dimensions-dodi-repack/	N/A	N/A	Torrent	https://www.file-upload.com/1f9jk6xvrlpb	https://www.file-upload.com/1f9jk6xvrlpb
411- Spider-Man: Shattered Dimensions – [DODI Repack]	dodi	Windows PC	windows	N/A	N/A	https://dodi-repacks.site/411-spider-man-shattered-dimensions-dodi-repack/	N/A	N/A	OneDrive	https://iir.ai/BvwwCvs	https://iir.ai/BvwwCvs
